Год премии;Кол-во голосов;Лучший фильм_1;Лучший фильм_ 2;Лучший фильм_ 3;Лучший фильм_4;Лучший фильм_5;Лучший фильм_6;Лучший фильм_7;Лучший фильм_8;Лучший фильм_9;Лучший фильм_10;Лучший фильм_11;Лучший фильм_12;Лучший фильм_13;Лучший фильм_14;Лучший фильм_15;Лучший фильм соц. стран_1;Лучший фильм соц. стран_2;Лучший фильм соц. стран_3;Лучший фильм соц. стран_4;Лучший фильм соц. стран_5;Лучший фильм других стран_1;Лучший фильм других стран_2;Лучший фильм других стран_3;Лучший фильм других стран_4;Лучший фильм других стран_5;Слабый фильм_1;Слабый фильм_ 2;Слабый фильм_3;Слабый фильм_4;Слабый фильм_5;Лучший актер_1;Лучшая актриса_1;Лучший актер_2;Лучшая актриса_2;Зрительские симпатии;Лучшие операторы и композиторы (одним блоком);Лучший фильм на военно-патриотическую тематику;Лучший приключенческий;Лучший музыкальный;Лучшая кинокомедия;Лучший актер эпизода;Лучшая зарубежная актриса;Лучший зарубежный актер;Лучший оператор;Лучший композитор;% Женщины;% Мужчины;Менее 14 лет;16-20 лет;14–17 лет;18-24 лет;18-20 лет;21-25 лет;21–24 лет;26-30 лет;25-30 лет;31-35 лет;25-40 лет;31-40 лет;36-40 лет;41-45 лет;41-50 лет;46-50 лет;41-55  лет;более 50 лет;свыше 55;Село;Небольшой город, районный центр, рабочий поселок;Столица республики, областной центр, город с население 100 тыс. человек и более;Москва, Ленинград;Не дали ответа;До 7 классов;До 8 классов;8-10 классов;7-9 классов;7-10 классов;Среднее (неполное и полное);Общее и специальное среднее;Общее среднее;Спец. среднее;Незакон. высшее и высшее;Незакон. высшее;Высшее;Не дали ответа;Рабочие;Колхозники, рабочие совхозов;Инженерно-технические работники;Служащие;Работники сферы обслуживания, торговли, общественного питания и т. д.;Работники культуры и искусства;Научные работники, преподаватели вузов;Работники здравоохранения;Специалисты сельского хозяйства;Преподаватели школы, техникума;Учащиеся школы, техникума;Студенты вузов;Домохозяйки;Пенсионеры;Прочие;Реже раза в месяц;1—2 раза в месяц;Каждую неделю;Несколько раз в неделю;Видели фильмов_менее 15;Видели фильмов_15-30;Видели фильмов_31-50;Видели фильмов_51-70;Видели фильмов_71-100;Видели фильмов_более 100;просят посмотреть_1;просят посмотреть_2;просят посмотреть_3;просят посмотреть_4;просят посмотреть_5;просят посмотреть_6;просят посмотреть_7;просят посмотреть_8;просят посмотреть_9;просят посмотреть_10;просят посмотреть_11;просят посмотреть_12;просят посмотреть_13;просят посмотреть_14;просят посмотреть_15;просят посмотреть_16;просят посмотреть_17;просят посмотреть_18;просят посмотреть_19;просят посмотреть_20;просят посмотреть_21;просят посмотреть_22;просят посмотреть_23;просят посмотреть_24;просят посмотреть_25;просят посмотреть_26;просят посмотреть_27;просят посмотреть_28;просят посмотреть_29;просят посмотреть_30;просят посмотреть_31;просят посмотреть_32;просят посмотреть_33;просят посмотреть_34;просят посмотреть_35;просят посмотреть_36;просят посмотреть_37;просят посмотреть_38
1968;48000;Доживем до понедельника;Щит и меч (I–IV серии);Мужчина и женщина;Твой современник;Бабье царство;Отклонение;Анна Каренина;Я вас любил;Еще раз про любовь;Три тополя на Плющихе;Хроника пикирующего бомбардировщика;Верная рука — друг индейцев;Сангам;Грех Зораба;Ты — моя жизнь;;;;;;;;;;;Крепкий орешек;Черт с портфелем;Соседи;Венская почтовая марка;Непоседа;Станислав Любшин;Татьяна Доронина;;;"Татьяна Самойлова; Анна Демьяненко; Анну Эне; Римма Маркова; Инна Чурикова; Михаил Мартынов; Александр Назаров; Людмила Касаткина; Сергей Юрский; Вячеслав Тихонов; Николай Пастухов; Олег Янковский; Георгий Жжёнов; Юрий Назаров; Иван Лапиков; Ролан Быков; Олег Ефремов";;;;;;;;Лоуренс Оливье;;;80;20;;50;;;;21;;9;;9;;;5;5;;1;;1;;5;39;37;19;;1;;;;25;;;23;16;;18;17;;;;;;;;;;;;;;;;;;;;;8;8;34;30;16;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1969;50 000;Братья Карамазовы;Неподсуден;Угрюм-река;Журавушка;Новые приключения неуловимых;Виринея;Мертвый сезон;Бриллиантовая рука;Мужской разговор;Крах;;;;;;Париж с площади (Венгрия);Анджей и Наполеон (Польша);Виннету — вождь апачей (Югославия);;;Анжелика — маркиза ангелов (Франция);Материнская любовь (Индия);Лучшие годы нашей жизни (США);;;Рыцарь мечты;Старый знакомый;Мужья в командировке;Вдова и капитан;;Олег Стриженов;Людмила Чурсина;;;"Донатас Банионис; Михаил Ульянов; Кирилл Лавров; Юрий Никулин";;;;;;;;;;;78,8;21,2;5,2;;27,9;;22,1;18,3;;5,8;;8;;;3,6;4,2;;2;;2,9;;6,9;41,7;33,9;16,1;1,4;5,6;;;;34,8;;;14,7;14,7;;14,7;15;0,5;7;1;14,8;15,4;3,6;2;2,5;4,6;;3,9;32,2;14,8;;;2,4;;;;;3,1;14,6;26,6;28,4;14,8;6,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1970;40000;У озера;Чайковский;Начало;Освобождение («Огненная дуга», «Прорыв»);Обвиняются в убийстве;Переступи порог;Посол Советского Союза;Влюбленные;Почтовый роман;Красная площадь;Преступление и наказание;Белое солнце пустыни;-;-;-;Пан Володыевский (Польша);Все на продажу (Польша);Вешние воды (Чехословакия);По следу тигра (Югославия);Рыцарь золотой перчатки (Венгрия);Супружеская жизнь (Франция);Поезд (США);Пусть говорят (Испания);Принцесса (Швеция);Срок семь дней (ФРГ);Чудный характер;Ищите и найдете;Самозванец с гитарой (Польша);Колдовская любовь (Испания);Европейская невеста (Иран);Иннокентий Смоктуновский;Инна Чурикова;-;-;Юлия Борисова, Наталья Белохвостикова, Антонина Шуранова, Анастасия Вертинская, Родион Нахапетов, Георгий Тараторкин, Анатолий Кузнецов, Георгий Жженов, Олег Янковский;;-;-;-;-;-;-;-;-;-;78,3;21,7;-;;32,4;41,8;-;;-;;-;;18,4;-;;;;;6,2;;1;-;38,1;47,6;12,8;;2;-;-;0;;58,6;;-;0;;21;15,7;;5,3;0;12,4;12,8;0;11,5;0;;;0;35,1;17,3;0;0;4;-;-;-;-;1,1;17,1;37,3;24,5;11,8;6,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1971;30000;Освобождение (Направление главного удара);Офицеры;Салют, Мария!;Белорусский вокзал;Король Лир;Бег;Сердце Бонивура;Минута молчания;Полонез Огинского;;-;-;-;-;-;Звезды, Эгера (Венгрия);Всего один месяц (Румыния);Приключения канонира Доласа (Польша);Семртельная ошибка (ГДР);-;Погоня (США);Ватерлоо (Италия);Оливер! (Англия);Подсолнухи (Италия - Франция);-;Долгие проводы;Интеграл;Только один телефонный звонок (Венгрия);Похожий на тебя (Индия);Печальная баллада (Дания);"Василий Лановой; Юрий Соломин; Юрий Ярвет";Ада Роговцева;-;-;"Людмила Чурсина; Виктория Федорова; Владислав Дворжецкий; Михаил Ульянов; Николай Олялин";;-;-;-;-;-;-;-;-;-;75,5;19,2;-;;28,7;-;23,1;;18,9;;7,4;;-;9,5;;;;;17,4;;2,4;0,1;26,6;53,8;13,5;;0,9;-;-;22,3;;-;;22,1;13,1;;20,4;16,1;;6,7;0,4;11;11,3;2,2;3,3;3,5;;;2,8;30,3;21,2;0,4;1,4;0,6;3,3;36;40,6;15,2;-;-;-;-;-;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1972;20000;А зори здесь тихие...;Укрощение огня;Последний штурм;Битва за Берлин;Адъютант его превосходительства;Комитет 19-ти;Русское поле;Белая птица с черной отметиной;Пришел солдат с фронта;Ох, уж эта Настя!;;;;;;Ежи рождаются без колючек (НРБ);План операции сорван (КНДР);Мальчишки с улицы Пала (ВНР);Ключ (ЧССР);;Ромео и Джульетта (Англия, Италия);Признание комиссара полиции прокурору республики (Италия);Благослови зверей и детей (США);Загнанных лошадей пристреливают, не правда ли? (США);;Украли старого Томаса;Хатабала;Держись за облака;;;Кирилл Мартынов;Нонна Мордюкова;Юрий Соломин;Ольга Остроумова;;;;;;;;;;;;71,6;28,4;;;10,8;;27,8;;23,8;;13,1;;;13,1;;7,8;;;7,8;;3,6;5,3;27,5;46,7;20,5;;1,3;;;14,2;;;;23,2;18,3;20,1;;22,9;;11,3;0,5;14,5;17,6;3,2;6;4,6;;;4,5;15,2;18,2;0,5;2;1,9;5,8;36,9;40,9;16,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1973;20000;Мачеха;Любить человека;Это сладкое слово — свобода!;Я — Шаповалов Т. П.;Самый последний день;Точка, точка, запятая...;Командир счастливой «Щуки»;Горячий снег;Ищу человека;Лаутары;Земля Санникова;Руслан и Людмила;Иван Васильевич меняет профессию;Сибирячка;"Земля, до востребования; Монолог; Таланты и поклонники; Приваловские миллионы; Учитель пения; Рустам и Сухраб; Человек на своем свете; Надежда; Великие голодранцы; За облаками небо; Чиполлино; Всадник без головы; Саженцы";Козий рог (Болгария);Освободитель (ГДР);Олимпийский факел (Польша);Мальчишки с улицы Пала (Венгрия);Михай Храбрый (Румыния);Кромвель (Англия);Джейн Эйр (Англия);Преступление во имя порядка (Франция);Вы не сказали, Феран (Франция);Сегодня жить, умереть завтра (Япония);Дон-Жуан в Таллине;Афера Цеплиса;Последние дни Помпеи;-;-;Евгений Матвеев;Татьяна Доронина;Михаил Ульянов;Любовь Виролайнен;-;;-;-;-;-;-;-;-;-;-;77,5;22,5;-;;7,9;-;29,9;;24,9;;14,4;;;11,8;;;;;7,5;;3,6;5,8;28;49,2;17;;0,6;-;-;11,9;;-;;25,9;21,1;;17,3;23,2;;12;0,7;13,6;19,7;4,6;6,8;4,6;;;4,1;13,2;15,4;0,3;2,5;2,5;4,8;34,7;40,9;19,6;-;-;-;-;-;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1974;20000;Калина красная;Тени исчезают в полдень;В бой идут одни «старики»;О тех, кого помню и люблю;Высокое звание («Ради жизни на земле»);Кыш и Двапортфеля;Юнга Северного флота;Москва, любовь моя;Возврата нет;Романс о влюбленных;-;-;-;-;-;Апачи (ГДР);Одинокий волк (Югославия) ;Бабье лето (Болгария);Свобода придет на рассвете (Югославия);Жить любовью (Югославия);Зов предков (Англия);Новые центурионы (США);Золото Маккены (США);;Следствие закончено, забудьте… (Италия);Теща;Звезда экрана;…А вы любили когда-нибудь!;Нейлон 100%;-;Василий Шукшин;Нонна Мордюкова;-;-;-;;-;-;-;-;-;-;-;-;-;65,6;34,4;0,3;;2,8;-;34,4;;25,7;;15,5;;-;11,2;;;;;6,9;;3,2;5;27,6;49,3;18,1;;0,9;-;-;9;;-;;26,9;23,6;;19;20,6;;15,3;0,7;13,3;20,7;5,6;6,8;3,3;;;4;9,5;16,3;0,6;1,9;2;4,3;36,7;39,1;19,9;-;-;-;-;-;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1975;23400;Они сражались за Родину;Поклонимся имени своей;Любовь земная;Как закалялась сталь;Звезда пленительного счастья;Сто дней после детства;Автомобиль, скрипка и собака Клякса;Дочки-матери;Агония;Премия;;;;;;Последний патрон (Румыния);Как это случилось (Польша);Весна грустной любви (Чехословакия);Преступник и его досье (Югославия);Коперник (Польша);Двое в городе (Франция);День дельфина (США);Белый клык (Италия);Бобби (Индия);Как украсть миллион (США);Одиножды один;Подарок одинокой женщине;Рогатый бастион;;;Василий Шукшин;Людмила Касаткина;;;;;;;;;;;;;;59,3;40,7;0,3;;18,5;;22,1;;26,1;;15,7;;;8,8;;6,5;;;;;2;5,6;24,2;53,8;16,4;;0,8;;;18;;;;22,8;19,1;;19;20,3;;11,2;0,6;13,7;16;4,3;4,9;3,5;;;2,9;22;17,3;0,4;1,5;1,7;4,5;39,8;39,5;16,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1976;20000;Ирония судьбы, или С легким паром!;Табор уходит в небо;Дерсу Узала;Сказ про то, как царь Петр арапа женил;Это мы не проходили;Пропавшая экспедиция;Когда наступает сентябрь;Преступление. Фильм первый — Нетерпимость;От зари до зари;Чужие письма;;;;;;Потоп (Польша);Пойми меня, мама (ГДР);Комиссар полиции обвиняет (Италия);В пустыне и джунглях (Польша);Ульзана (ГДР);Возвращение белого клыка (Италия);Цирк (США);Зорро (Франция);Преступление во имя любви (Италия);Профессия: репортер (Италия, Франция, Испания);Вкус халвы;Танец орла;В клешнях черного рака;;;Андрей Мягков;Светлана Тома;;;;;;;;;;;;;;67,5;32,5;0,2;;20,2;;25,1;;24,2;;16,7;;;8,3;;;4;;;;;4;25;57,5;13,5;;0,4;;;16,9;;;;24,4;17;;18,7;22,6;;10,6;0,8;15,5;14,2;3;5,5;3,5;;;3,1;24;16,8;0,2;0,9;1,9;4,1;39,4;42;15,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1977;22000;Белый Бим Черное ухо, 2 с.;Розыгрыш;Подарки;Легенда о Тиле;Ночь над Чили;Восхождение;Мама;Красное и черное, 4 с.;Аты-баты, шли солдаты...;Неоконченная пьеса для механического пианино;-;-;-;-;-;С любовью (Польша);Бессмертные (Румыния при уч. ГДР);Земля обетованная, 2 с. (Польша);Братья по крови (ГДР);Гибель корабля «Эмма» (ГДР);Старое ружье (Франция);Лихорадка на белой полосе (США);Доктор Франсуаза Гайян (Франция);Золотая лихорадка (США);Принцесса подводного царства (Япония);Время — московское;Кафе «Изотоп»;Иван и Коломбина;-;-;Александр Калягин;Наталья Гундарева;-;-;-;;-;-;-;-;-;-;-;-;-;67,5;32,5;0,2;;24,4;-;28,7;;23;;12,2;;-;5,8;;;;;3,8;;1,9;3,7;22,7;53,4;20,2;;0,5;-;-;19,3;;-;;22,6;16,1;;24;17,5;;8,2;0,3;10,4;13,3;3,5;5,8;3,3;;;2,7;26,8;22,9;0,1;0,9;1,8;5,3;43,1;39,1;12,5;-;-;-;-;-;-;Анна Каренина;Александр Невский;Большой вальс;Броненосец «Потемкин»;В бой идут одни «старики»;Верные друзья;В 6 часов вечера после войны;Война и мир;Волга-Волга;Веселые ребята;Идиот;Иван Грозный;Летят журавли;Небесный тихоход;Овод;Оптимистическая трагедия;Председатель;Петр I;Свинарка и пастух;Сердца четырех;Сорок первый;Тихий Дон;Хождение по мукам;Цирк;Чапаев;;;;;;;;;;;;;
